Metrics,Description (Detailed)
h_OS_tgi,Triangular greenness index of points in height strata >9.0 m of the normalized point cloud
h_OS_vari,Visual atmospheric resistance index of points in height strata >9.0 m of the normalized point cloud
h_OS_skew,Skewness of point heights in height strata >9.0 m of the normalized point cloud
h_OS_kurt,Kurtosis of point heights in height strata >9.0 m of the normalized point cloud
h_zmax,The height of the highest point in the normalized point cloud
h_zmean,The mean height of all points in the normalized point cloud (includes ground points)
h_zsd,The standard deviation of all points in the normalized point cloud (includes ground points)
h_zskew,The skewness of all points in the normalized point cloud (includes ground points)
h_zkurt,The kurtosis of all points in the normalized point cloud (includes ground points)
h_pzabovezmean,The percent of points above two standard deviations above the mean height of the normalized point cloud (includes ground points)
h_pzabove2,The percent of points above the mean height of the normalized point cloud (includes ground points)
h_zq5,The Fifth percentile height of points in the point cloud (includes ground points)
h_zq10,The Tenth percentile height of points in the point cloud (includes ground points)
h_zq15,The Fifteenth percentile height of points in the point cloud (includes ground points)
h_zq20,The Twentieth percentile height of points in the point cloud (includes ground points)
h_zq25,The Twenty-fifth percentile height of points in the point cloud (includes ground points)
h_zq30,The Thirtieth percentile height of points in the point cloud (includes ground points)
h_zq35,The Thirty-fifth percentile height of points in the point cloud (includes ground points)
h_zq40,The Fortieth percentile height of points in the point cloud (includes ground points)
h_zq45,The Forty-fifth percentile height of points in the point cloud (includes ground points)
h_zq50,The Fiftieth percentile height of points in the point cloud (includes ground points)
h_zq55,The Fifty-fifth percentile height of points in the point cloud (includes ground points)
h_zq60,The Sixtieth percentile height of points in the point cloud (includes ground points)
h_zq65,The Sixty-fifth percentile height of points in the point cloud (includes ground points)
h_zq70,The Seventieth percentile height of points in the point cloud (includes ground points)
h_zq75,The Seventy-fifth percentile height of points in the point cloud (includes ground points)
h_zq80,The Eightieth percentile height of points in the point cloud (includes ground points)
h_zq85,The Eighty-fifth percentile height of points in the point cloud (includes ground points)
h_zq90,The Ninetieth percentile height of points in the point cloud (includes ground points)
h_zq95,The Ninety-fifth percentile height of points in the point cloud (includes ground points)
h_zpcum1,Percent of points below the tenth height percentile (includes ground points)
h_zpcum2,Percent of points below the twentieth height percentile (includes ground points)
h_zpcum3,Percent of points below the thirtieth height percentile (includes ground points)
h_zpcum4,Percent of points below the fortieth height percentile (includes ground points)
h_zpcum5,Percent of points below the fiftieth height percentile (includes ground points)
h_zpcum6,Percent of points below the sixtieth height percentile (includes ground points)
h_zpcum7,Percent of points below the seventieth height percentile (includes ground points)
h_zpcum8,Percent of points below the eightieth height percentile (includes ground points)
h_zpcum9,Percent of points below the ninetieth height percentile (includes ground points)
per_gap,Percent of unreturned points to the total number of pulses in the entire scan
s_lng_na_per,Percent of non-ground points in areas occluded by previous returns in the entire scan
s_lng_zero_per,Percent of non-ground points that pass through a layer but are not returned 
s_lng_prop_mn,Mean proportion of returned pulses for all locations that are not zero or occluded in that layer
s_lng_prop_sd,Standard deviation of returned pulses for all locations that are not zero or occluded in that layer
s_lng_prop_sk,Skewness proportion of returned pulses for all locations that are not zero or occluded in that layer
s_lng_prop_ku,Kurtosis proportion of returned pulses for all locations that are not zero or occluded in that layer
s_l1_na_per,Percent of non-ground points occluded in strata level 1 from origin
s_l1_zero_per,Percent of unreturned non-ground points (true empty space) in strata level 1 from origin
s_l1_prop_mn,Mean proportion of occluded and no returns in strata level 1 from origin
s_l1_prop_sd,Standard deviation of proportion of occluded and no returns in strata level 1 from origin
s_l1_prop_sk,Skewness of proportion of occluded and no returns in strata level 1 from origin
s_l1_prop_ku,Kurtosis of proportion of occluded and no returns in strata level 1 from origin
s_l2_na_per,Percent of non-ground points occluded in strata  level 2 from origin
s_l2_zero_per,Percent of unreturned non-ground points (true empty space) in strata level 2 from origin
s_l2_prop_mn,Mean proportion of occluded and no returns in strata level 2 from origin
s_l2_prop_sd,Standard deviation of proportion of occluded and no returns in strata level 2 from origin
s_l2_prop_sk,Skewness of proportion of occluded and no returns in strata level 2 from origin
s_l2_prop_ku,Kurtosis of proportion of occluded and no returns in strata level 2 from origin
s_l3_na_per,Percent of non-ground points occluded in strata level 2 from origin
s_l3_zero_per,Percent of unreturned non-ground points (true empty space) in strata level 3 from origin
s_l3_prop_mn,Mean proportion of occluded and no returns in strata level 3 from origin
s_l3_prop_sd,Standard deviation of proportion of occluded and no returns in strata level 3 from origin
s_l3_prop_sk,Skewness of proportion of occluded and no returns in strata level 3 from origin
s_l3_prop_ku,Kurtosis of proportion of occluded and no returns in strata level 3 from origin
s_l4_na_per,Percent of non-ground points occluded in strata  level 4 from origin
s_l4_zero_per,Percent of unreturned non-ground points (true empty space) in strata level 4 from origin
s_l4_prop_mn,Mean proportion of occluded and no returns in strata level 4 from origin
s_l4_prop_sd,Standard deviation of proportion of occluded and no returns in strata level 4 from origin
s_l4_prop_sk,Skewness of proportion of occluded and no returns in strata level 4 from origin
