Metrics,Scan Division,Metric type,Raw point cloud/Voxelized point cloud,Description (simplified),Description (Detailed),,,,,,,,,,
h_l4_tgi,1.5-2.0 m height strata,Height strata,Raw,Triangular greenness index of points in height strata,Triangular greenness index of points in height strata 1.5-2.0 m of the normalized point cloud,,,,,,,,,,1
h_l4_vari,1.5-2.0 m height strata,Height strata,Raw,Visual atmospheric resistance index of points in height strata,Visual atmospheric resistance index of points in height strata 1.5-2.0 m of the normalized point cloud,,,,,,,,,,1
h_l4_skew,1.5-2.0 m height strata,Height strata,Raw,Skewness of point heights in height strata,Skewness of point heights in height strata 1.5-2.0 m of the normalized point cloud,,,,,,,,,,1
h_l4_kurt,1.5-2.0 m height strata,Height strata,Raw,Kurtosis of point heights in height strata,Kurtosis of point heights in height strata 1.5-2.0 m of the normalized point cloud,,,,,,,,,,1
h_l5_cnt,>2.0 m height strata,Height strata,Raw,Count of points in height strata,Count of points in height strata >2.0 m of the normalized point cloud,,,,,,,,,,1
h_l5_per,>2.0 m height strata,Height strata,Raw,Percent of points in height strata,Percent of points in height strata >2.0 m of the normalized point cloud,,,,,,,,,,1
h_l5_mean,>2.0 m height strata,Height strata,Raw,Mean height of points in height strata,Mean height of points in height strata >2.0 m of the normalized point cloud,,,,,,,,,,1
h_l5_median,>2.0 m height strata,Height strata,Raw,Median height of points in height strata,Median height of points in height strata >2.0 m of the normalized point cloud,,,,,,,,,,1
h_l5_std,>2.0 m height strata,Height strata,Raw,Standard deviation of points in height strata,Standard deviation of points in height strata >2.0 m of the normalized point cloud,,,,,,,,,,1
h_l5_tgi,>2.0 m height strata,Height strata,Raw,Triangular greenness index of points in height strata,Triangular greenness index of points in height strata >2.0 m of the normalized point cloud,,,,,,,,,,1
h_l5_vari,>2.0 m height strata,Height strata,Raw,Visual atmospheric resistance index of points in height strata,Visual atmospheric resistance index of points in height strata >2.0 m of the normalized point cloud,,,,,,,,,,1
h_l5_skew,>2.0 m height strata,Height strata,Raw,Skewness of point heights in height strata,Skewness of point heights in height strata >2.0 m of the normalized point cloud,,,,,,,,,,1
h_l5_kurt,>2.0 m height strata,Height strata,Raw,Kurtosis of point heights in height strata,Kurtosis of point heights in height strata >2.0 m of the normalized point cloud,,,,,,,,,,1
h_GC_cnt,0-1.0 m height strata,Height strata,Raw,Count of points in height strata,Count of points in height strata 0-1.0 m of the normalized point cloud,,,,,,,,,,1
h_GC_per,0-1.0 m height strata,Height strata,Raw,Percent of points in height strata,Percent of points in height strata 0-1.0 m of the normalized point cloud,,,,,,,,,,1
h_GC_mean,0-1.0 m height strata,Height strata,Raw,Mean height of points in height strata,Mean height of points in height strata 0-1.0 m of the normalized point cloud,,,,,,,,,,1
h_GC_median,0-1.0 m height strata,Height strata,Raw,Median height of points in height strata,Median height of points in height strata 0-1.0 m of the normalized point cloud,,,,,,,,,,1
h_GC_std,0-1.0 m height strata,Height strata,Raw,Standard deviation of points in height strata,Standard deviation of points in height strata 0-1.0 m of the normalized point cloud,,,,,,,,,,1
h_GC_tgi,0-1.0 m height strata,Height strata,Raw,Triangular greenness index of points in height strata,Triangular greenness index of points in height strata 0-1.0 m of the normalized point cloud,,,,,,,,,,1
h_GC_vari,0-1.0 m height strata,Height strata,Raw,Visual atmospheric resistance index of points in height strata,Visual atmospheric resistance index of points in height strata 0-1.0 m of the normalized point cloud,,,,,,,,,,1
h_GC_skew,0-1.0 m height strata,Height strata,Raw,Skewness of point heights in height strata,Skewness of point heights in height strata 0-1.0 m of the normalized point cloud,,,,,,,,,,1
h_GC_kurt,0-1.0 m height strata,Height strata,Raw,Kurtosis of point heights in height strata,Kurtosis of point heights in height strata 0-1.0 m of the normalized point cloud,,,,,,,,,,1
h_US_cnt,1.0-3.0 m height strata,Height strata,Raw,Count of points in height strata,Count of points in height strata 1.0-3.0 m of the normalized point cloud,,,,,,,,,,1
h_US_per,1.0-3.0 m height strata,Height strata,Raw,Percent of points in height strata,Percent of points in height strata 1.0-3.0 m of the normalized point cloud,,,,,,,,,,1
h_US_mean,1.0-3.0 m height strata,Height strata,Raw,Mean height of points in height strata,Mean height of points in height strata 1.0-3.0 m of the normalized point cloud,,,,,,,,,,1
h_US_median,1.0-3.0 m height strata,Height strata,Raw,Median height of points in height strata,Median height of points in height strata 1.0-3.0 m of the normalized point cloud,,,,,,,,,,1
h_US_std,1.0-3.0 m height strata,Height strata,Raw,Standard deviation of points in height strata,Standard deviation of points in height strata 1.0-3.0 m of the normalized point cloud,,,,,,,,,,1
h_US_tgi,1.0-3.0 m height strata,Height strata,Raw,Triangular greenness index of points in height strata,Triangular greenness index of points in height strata 1.0-3.0 m of the normalized point cloud,,,,,,,,,,1
h_US_vari,1.0-3.0 m height strata,Height strata,Raw,Visual atmospheric resistance index of points in height strata,Visual atmospheric resistance index of points in height strata 1.0-3.0 m of the normalized point cloud,,,,,,,,,,1
h_US_skew,1.0-3.0 m height strata,Height strata,Raw,Skewness of point heights in height strata,Skewness of point heights in height strata 1.0-3.0 m of the normalized point cloud,,,,,,,,,,1
h_US_kurt,1.0-3.0 m height strata,Height strata,Raw,Kurtosis of point heights in height strata,Kurtosis of point heights in height strata 1.0-3.0 m of the normalized point cloud,,,,,,,,,,1
h_MS_cnt,3.0-9.0 m height strata,Height strata,Raw,Count of points in height strata,Count of points in height strata 3.0-9.0 m of the normalized point cloud,,,,,,,,,,1
h_MS_per,3.0-9.0 m height strata,Height strata,Raw,Percent of points in height strata,Percent of points in height strata 3.0-9.0 m of the normalized point cloud,,,,,,,,,,1
h_MS_mean,3.0-9.0 m height strata,Height strata,Raw,Mean height of points in height strata,Mean height of points in height strata 3.0-9.0 m of the normalized point cloud,,,,,,,,,,1
h_MS_median,3.0-9.0 m height strata,Height strata,Raw,Median height of points in height strata,Median height of points in height strata 3.0-9.0 m of the normalized point cloud,,,,,,,,,,1
h_MS_std,3.0-9.0 m height strata,Height strata,Raw,Standard deviation of points in height strata,Standard deviation of points in height strata 3.0-9.0 m of the normalized point cloud,,,,,,,,,,1
h_MS_tgi,3.0-9.0 m height strata,Height strata,Raw,Triangular greenness index of points in height strata,Triangular greenness index of points in height strata 3.0-9.0 m of the normalized point cloud,,,,,,,,,,1
h_MS_vari,3.0-9.0 m height strata,Height strata,Raw,Visual atmospheric resistance index of points in height strata,Visual atmospheric resistance index of points in height strata 3.0-9.0 m of the normalized point cloud,,,,,,,,,,1
h_MS_skew,3.0-9.0 m height strata,Height strata,Raw,Skewness of point heights in height strata,Skewness of point heights in height strata 3.0-9.0 m of the normalized point cloud,,,,,,,,,,1
h_MS_kurt,3.0-9.0 m height strata,Height strata,Raw,Kurtosis of point heights in height strata,Kurtosis of point heights in height strata 3.0-9.0 m of the normalized point cloud,,,,,,,,,,1
