Metrics,Scan Division,Metric type,Raw point cloud/Voxelized point cloud,Description (simplified),Description (Detailed),,,,,,,,,,
vox_l1_kurt,Entire voxelized point cloud,General,Voxelized,Kurtosis of heights in voxelized point cloud,Kurtosis of height of TLS points in the entire voxelized point cloud,,,,,,,,,,1
TBA,Tree data,Trees,Voxelized,Total basal area in the voxelized point cloud (sq. m),Total basal area of all detected overstory trees calculated from classified stem points in the point cloud,,,,,,,,,,1
Basalarea,Tree data,Trees,Voxelized,Basal area estimated from the tree inventory (sq. ft/acre),"Total basal area of detected overstory trees corrected for possible occlusion, converted to imperial measurements and scaled to acres",,,,,,,,,,1
MeanTH,Tree data,Trees,Voxelized,Mean tree height,The mean height of all detected overstory trees in the scan,,,,,,,,,,1
MDBH,Tree data,Trees,Voxelized,Mean dbh,The mean Diameter at breast height (1.37 m) of all detected overstory trees in the scan,,,,,,,,,,1
TreesN,Tree data,Trees,Voxelized,Number of trees,The number of detected overstory trees in the scan,,,,,,,,,,1
MaxTH,Tree data,Trees,Voxelized,Maximum tree height,The height of the tallest detected overstory tree,,,,,,,,,,1
SDHT,Tree data,Trees,Voxelized,Standard deviation of tree heights,The standard deviation of heights of all the detected overstory trees,,,,,,,,,,1
CBH,Tree data,Trees,Voxelized,Canopy base height,The canopy base height in the scan (currently estimated using the mean tree height minus the standard deviation of tree heights),,,,,,,,,,1
LAI,Entire voxelized point cloud,General,Voxelized,Calculated leaf area index of the point cloud,The leaf area index calculated from the entire point cloud,,,,,,,,,,1
ULAI,Entire voxelized point cloud,General,Voxelized,Understory leaf area index,The leaf area index calculated from the understory (1-3 m) strata,,,,,,,,,,1
MLAI,Entire voxelized point cloud,General,Voxelized,Midstory leaf area index,The leaf area index calculated from the midstory (3-9 m) strata,,,,,,,,,,1
OLAI,Entire voxelized point cloud,General,Voxelized,Overstory leaf area index,The leaf area index calculated from the overstory (>9 m) strata,,,,,,,,,,1
FHD,Entire voxelized point cloud,General,Voxelized,Foliage height diversity,"The foliage height diversity (FHD) metric from abundances considered as per-voxel relative LAD values, as described in MacArthur and MacArthur (1961) ",,,,,,,,,,1
GiSimp,Entire voxelized point cloud,General,Voxelized,Gini-Simpson index of foliage structural diversity ,The Gini-Simpson (GS) index metric (Simpson diversity from abundances using voxel relative leaf area density),,,,,,,,,,1
LAHV,Entire voxelized point cloud,General,Voxelized,Leaf Area Height Volume metric,The leaf area height volume (LAHV) metric as described in Almeida et al. (2019) calculated from the entire point cloud,,,,,,,,,,1
Gcvol,0-1 m high voxelized point clouds with tree stems removed,,,,,,,,,,,,,,1
USvol,1-3 m high voxelized point clouds with tree stems removed,,,,,,,,,,,,,,1
Msvol,3-9 m high voxelized point clouds with tree stems removed,,,,,,,,,,,,,,1
Osvol,> 9 m high voxelized point clouds with tree stems removed,,,,,,,,,,,,,,1
fuel0_3l1_cnt,0-3 m high voxelized point clouds with tree stems removed,General,Voxelized,Count of points in height strata,Count of points in the 0-3 m high voxelized point clouds with tree stems removed,,,,,,,,,,1
fuel0_3l1_mean,0-3 m high voxelized point clouds with tree stems removed,General,Voxelized,Mean height of points in height strata,Mean height of points in the 0-3 m high voxelized point clouds with tree stems removed,,,,,,,,,,1
fuel0_3l1_median,0-3 m high voxelized point clouds with tree stems removed,General,Voxelized,Median height of points in height strata,Median height of points in height strata0-3 m high voxelized point clouds with tree stems removed,,,,,,,,,,1
fuel0_3l1_std,0-3 m high voxelized point clouds with tree stems removed,General,Voxelized,Standard deviation of the heights of points in height strata,Standard deviation of the heights of points in the 0-3 m high voxelized point clouds with tree stems removed,,,,,,,,,,1
fuel0_3l1_tgi,0-3 m high voxelized point clouds with tree stems removed,General,Voxelized,Triangular greenness index of points in height strata,Triangular greenness index of points in the 0-3 m high voxelized point clouds with tree stems removed,,,,,,,,,,1
fuel0_3l1_vari,0-3 m high voxelized point clouds with tree stems removed,General,Voxelized,Visual atmospheric resistance index of points in height strata,Visual atmospheric resistance index of points in the 0-3 m high voxelized point clouds with tree stems removed,,,,,,,,,,1
fuel0_3l1_skew,0-3 m high voxelized point clouds with tree stems removed,General,Voxelized,Skewness of point heights in height strata,Skewness of point heights in the 0-3 m high voxelized point clouds with tree stems removed,,,,,,,,,,1
fuel0_3l1_kurt,0-3 m high voxelized point clouds with tree stems removed,General,Voxelized,Kurtosis of point heights in height strata,Kurtosis of point heights in the 0-3 m high voxelized point clouds with tree stems removed,,,,,,,,,,1
shrubs_l1_cnt,Shrub classified voxelized point cloud,General,Voxelized,Count of points in height strata,Count of points in the Shrub classified voxelized point cloud,,,,,,,,,,1
shrubs_l1_mean,Shrub classified voxelized point cloud,General,Voxelized,Mean height of points in height strata,Mean height of points in the Shrub classified voxelized point cloud,,,,,,,,,,1
shrubs_l1_median,Shrub classified voxelized point cloud,General,Voxelized,Median height of points in height strata,Median height of points in the Shrub classified voxelized point cloud,,,,,,,,,,1
shrubs_l1_std,Shrub classified voxelized point cloud,General,Voxelized,Standard deviation of the heights of points in height strata,Standard deviation of the heights of points in the Shrub classified voxelized point cloud,,,,,,,,,,1
shrubs_l1_tgi,Shrub classified voxelized point cloud,General,Voxelized,Triangular greenness index of points in height strata,Triangular greenness index of points in the Shrub classified voxelized point cloud,,,,,,,,,,1
shrubs_l1_vari,Shrub classified voxelized point cloud,General,Voxelized,Visual atmospheric resistance index of points in height strata,Visual atmospheric resistance index of points in the Shrub classified voxelized point cloud,,,,,,,,,,1
shrubs_l1_skew,Shrub classified voxelized point cloud,General,Voxelized,Skewness of point heights in height strata,Skewness of point heights in the Shrub classified voxelized point cloud,,,,,,,,,,1
shrubs_l1_kurt,Shrub classified voxelized point cloud,General,Voxelized,Kurtosis of point heights in height strata,Kurtosis of point heights in the Shrub classified voxelized point cloud,,,,,,,,,,1
ShrubsN,Shrub data,Shrubs,Voxelized,Number of shrubs in the point cloud,Number of shrubs in the point cloud calculated from the cloth simulation filter method used to classify shrub points,,,,,,,,,,1
shrubArea,Shrub data,Shrubs,Voxelized,Area of shrubs in the point cloud (m‹¨«),Area of shrubs in the point cloud (m‹¨«) calculated from the cloth simulation filter method used to classify shrub points,,,,,,,,,,1
scaledShrubArea,Shrub data,Shrubs,Voxelized,Estimated area of shrubs per acre (ft‹¨«/acre),Estimated area of shrubs per acre (ft‹¨«/acre) calculated from the cloth simulation filter method used to classify shrub points,,,,,,,,,,1
MeanSH,Shrub data,Shrubs,Voxelized,Mean height of shrubs in the point cloud,Mean height of shrubs in the point cloud calculated from the cloth simulation filter method used to classify shrub points,,,,,,,,,,1
MeanSA,Shrub data,Shrubs,Voxelized,Mean area of shrubs in the point cloud,Mean area of shrubs in the point cloud calculated from the cloth simulation filter method used to classify shrub points,,,,,,,,,,1
MaxSH,Shrub data,Shrubs,Voxelized,Maximum height of shrubs in the point cloud,Maximum height of shrubs in the point cloud calculated from the cloth simulation filter method used to classify shrub points,,,,,,,,,,1
SDSHT,Shrub data,Shrubs,Voxelized,Standard deviation of height of shrubs in the point cloud,Standard deviation of height of shrubs in the point cloud calculated from the cloth simulation filter method used to classify shrub points,,,,,,,,,,1
MeanSD,Shrub data,Shrubs,Voxelized,Mean distance between centroids of shrubs in the point cloud,Mean distance between centroids of shrubs in the point cloud calculated from the cloth simulation filter method used to classify shrub points,,,,,,,,,,1
MaxSD,Shrub data,Shrubs,Voxelized,Maximum distance between centroids of shrubs in the point cloud,Maximum distance between centroids of shrubs in the point cloud calculated from the cloth simulation filter method used to classify shrub points,,,,,,,,,,1
MinSD,Shrub data,Shrubs,Voxelized,Minimum distance between centroids of shrubs in the point cloud,Minimum distance between centroids of shrubs in the point cloud calculated from the cloth simulation filter method used to classify shrub points,,,,,,,,,,1
SDSD,Shrub data,Shrubs,Voxelized,Standard deviation of distance between centroids of shrubs in the point cloud,Standard deviation of distance between centroids of shrubs in the point cloud calculated from the cloth simulation filter method used to classify shrub points,,,,,,,,,,1
fine_l1_cnt,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Count of points in height strata,Count of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed,,,,,,,,,,1
fine_l1_mean,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Mean height of points in height strata,Mean height of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed,,,,,,,,,,1
fine_l1_median,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Median height of points in height strata,Median height of points in height strata0-3 m high voxelized point clouds with tree stems and shrubs removed,,,,,,,,,,1
fine_l1_std,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Standard deviation of the heights of points in height strata,Standard deviation of the heights of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed,,,,,,,,,,1
fine_l1_tgi,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Triangular greenness index of points in height strata,Triangular greenness index of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed,,,,,,,,,,1
fine_l1_vari,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Visual atmospheric resistance index of points in height strata,Visual atmospheric resistance index of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed,,,,,,,,,,1
fine_l1_skew,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Skewness of point heights in height strata,Skewness of point heights in the 0-3 m high voxelized point clouds with tree stems and shrubs removed,,,,,,,,,,1
fine_l1_kurt,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Kurtosis of point heights in height strata,Kurtosis of point heights in the 0-3 m high voxelized point clouds with tree stems and shrubs removed,,,,,,,,,,1
hr0_10_l1_cnt,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Count of points in height strata,Count of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 0-10 hour fuel points,,,,,,,,,,1
hr0_10_l1_mean,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Mean height of points in height strata,Mean height of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 0-10 hour fuel points,,,,,,,,,,1
hr0_10_l1_median,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Median height of points in height strata,Median height of points in height strata0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 0-10 hour fuel points,,,,,,,,,,1
hr0_10_l1_std,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Standard deviation of the heights of points in height strata,Standard deviation of the heights of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 0-10 hour fuel points,,,,,,,,,,1
hr0_10_l1_tgi,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Triangular greenness index of points in height strata,Triangular greenness index of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 0-10 hour fuel points,,,,,,,,,,1
hr0_10_l1_vari,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Visual atmospheric resistance index of points in height strata,Visual atmospheric resistance index of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 0-10 hour fuel points,,,,,,,,,,1
hr0_10_l1_skew,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Skewness of point heights in height strata,Skewness of point heights in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 0-10 hour fuel points,,,,,,,,,,1
hr0_10_l1_kurt,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Kurtosis of point heights in height strata,Kurtosis of point heights in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 0-10 hour fuel points,,,,,,,,,,1
hr100_1000_l1_cnt,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Count of points in height strata,Count of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 100-1000 hour fuel points,,,,,,,,,,1
hr100_1000_l1_mean,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Mean height of points in height strata,Mean height of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 100-1000 hour fuel points,,,,,,,,,,1
hr100_1000_l1_median,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Median height of points in height strata,Median height of points in height strata0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 100-1000 hour fuel points,,,,,,,,,,1
hr100_1000_l1_std,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Standard deviation of the heights of points in height strata,Standard deviation of the heights of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 100-1000 hour fuel points,,,,,,,,,,1
hr100_1000_l1_tgi,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Triangular greenness index of points in height strata,Triangular greenness index of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 100-1000 hour fuel points,,,,,,,,,,1
hr100_1000_l1_vari,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Visual atmospheric resistance index of points in height strata,Visual atmospheric resistance index of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 100-1000 hour fuel points,,,,,,,,,,1
hr100_1000_l1_skew,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Skewness of point heights in height strata,Skewness of point heights in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 100-1000 hour fuel points,,,,,,,,,,1
hr100_1000_l1_kurt,0-3 m high voxelized point clouds with tree stems and shrubs removed,General,Voxelized,Kurtosis of point heights in height strata,Kurtosis of point heights in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 100-1000 hour fuel points,,,,,,,,,,1
